hours,label
4.370861069626263,1
9.556428757689245,1
7.587945476302646,1
6.387926357773329,1
2.4041677639819286,0
2.403950683025824,0
1.5227525095137953,0
8.795585311974417,1
6.41003510568888,1
7.372653200164409,1
1.185260448662222,0
9.72918866945795,1
8.491983767203795,1
2.9110519961044856,0
2.636424704863906,0
2.650640588680904,0
3.7381801866358395,0
5.72280788469014,1
4.887505167779041,0
3.6210622617823773,0
6.506676052501415,1
2.2554447458683766,0
3.629301836816963,0
4.297256589643226,1
5.104629857953324,1
8.066583652537123,1
2.7970640394252375,0
5.628109945722504,0
6.331731119758382,1
1.4180537144799796,0
6.467903667112945,1
2.5347171131856236,0
1.5854643368675156,0
9.539969835279999,1
9.690688297671034,1
8.275576133048151,1
3.741523922560336,0
1.8790490260574548,0
7.158097238609412,1
4.961372443656412,0
2.0983441136030097,0
5.456592191001432,1
1.3094966900369656,0
9.18388361870904,1
3.3290198344001523,0
6.962700559185838,1
3.8053996848046987,0
5.680612190600297,1
5.920392514089517,1
2.6636900997297435,0
9.726261649881026,1
7.976195410250031,1
9.455490474077703,1
9.053446153848839,1
6.381099809299767,0
9.296868115208051,1
1.7964325184672756,0
2.763845761772307,0
1.4070456001948426,0
3.927972976869379,0
4.498095607205338,1
3.442141285965063,0
8.458637582367365,1
4.210779940242304,0
3.5284105871864266,1
5.884264748424236,0
2.2683180247728636,0
8.219772826786357,1
1.6709557931179373,0
9.881982429404655,1
7.9502029236699165,1
2.7884411338075514,1
1.0496990541124216,0
8.339152856093508,1
7.361716094628554,1
7.561064512368886,1
7.941433120173512,1
1.6664018656068134,0
4.226191556898454,0
2.0428215357261674,0
8.767930832880342,1
6.609683141448022,1
3.9780822236738427,0
1.5720251525742128,0
3.79884089544096,0
3.9266498982407234,0
7.566455605042576,1
6.738017242196918,1
8.98491468318694,1
5.249934326457543,1
2.0763482134447155,0
7.419203085006955,1
7.847065437552077,1
6.051494778125466,1
7.938704619591049,1
5.444160367279517,1
5.704595464437946,0
4.847869165226946,0
1.2287721406968566,0
1.97102284293974,0
